hpo_id,name,definition,synonyms,text_for_embedding
HP:0000012,Urinary urgency,"Urge incontinence is the strong, sudden need to urinate.","['Overactive bladder', 'Urgent micturition', 'Urinary urgency', 'Overactive bladder syndrome', 'Urgency frequency syndrome']","Urinary urgency. Urge incontinence is the strong, sudden need to urinate. Overactive bladder. Urgent micturition. Urinary urgency. Overactive bladder syndrome. Urgency frequency syndrome"
HP:0000013,Hypoplasia of the uterus,Underdevelopment of the uterus.,"['Hypoplastic uterus', 'Rudimentary uterus', 'Small uterus', 'Underdeveloped uterus']",Hypoplasia of the uterus. Underdevelopment of the uterus. Hypoplastic uterus. Rudimentary uterus. Small uterus. Underdeveloped uterus
HP:0000014,Abnormality of the bladder,An abnormality of the urinary bladder.,[],Abnormality of the bladder. An abnormality of the urinary bladder. 
HP:0000015,Bladder diverticulum,Diverticulum (sac or pouch) in the wall of the urinary bladder.,['Bladder diverticula'],Bladder diverticulum. Diverticulum (sac or pouch) in the wall of the urinary bladder. Bladder diverticula
HP:0000016,Urinary retention,Inability to completely empty the urinary bladder during the process of urination.,['Increased post-void residual urine volume'],Urinary retention. Inability to completely empty the urinary bladder during the process of urination. Increased post-void residual urine volume
HP:0000017,Nocturia,Abnormally increased production of urine during the night leading to an unusually frequent need to urinate.,['Nycturia'],Nocturia. Abnormally increased production of urine during the night leading to an unusually frequent need to urinate. Nycturia
HP:0000019,Urinary hesitancy,Difficulty in beginning the process of urination.,['Difficulty with flow'],Urinary hesitancy. Difficulty in beginning the process of urination. Difficulty with flow
HP:0000020,Urinary incontinence,Loss of the ability to control the urinary bladder leading to involuntary urination.,"['Bladder incontinence', 'Loss of bladder control']",Urinary incontinence. Loss of the ability to control the urinary bladder leading to involuntary urination. Bladder incontinence. Loss of bladder control
HP:0000021,Megacystis,Dilatation of the bladder postnatally.,[],Megacystis. Dilatation of the bladder postnatally. 
HP:0000022,Abnormal male internal genitalia morphology,An abnormality of the male internal genitalia.,[],Abnormal male internal genitalia morphology. An abnormality of the male internal genitalia. 
HP:0000023,Inguinal hernia,Protrusion of the contents of the abdominal cavity through the inguinal canal.,[],Inguinal hernia. Protrusion of the contents of the abdominal cavity through the inguinal canal. 
HP:0000024,Prostatitis,The presence of inflammation of the prostate.,['Inflammation of the prostate'],Prostatitis. The presence of inflammation of the prostate. Inflammation of the prostate
HP:0000025,Functional abnormality of male internal genitalia,,[],Functional abnormality of male internal genitalia.  
HP:0000026,Male hypogonadism,"Decreased functionality of the male gonad, i.e., of the testis, with reduced spermatogenesis or testosterone synthesis.",['Decreased function of male gonad'],"Male hypogonadism. Decreased functionality of the male gonad, i.e., of the testis, with reduced spermatogenesis or testosterone synthesis. Decreased function of male gonad"
HP:0000027,Azoospermia,"Absence of any measurable level of sperm,whereby spermatozoa cannot be observed even after centrifugation of the semen pellet.",['Absent sperm in semen'],"Azoospermia. Absence of any measurable level of sperm,whereby spermatozoa cannot be observed even after centrifugation of the semen pellet. Absent sperm in semen"
HP:0000028,Cryptorchidism,"Testis in inguinal canal. That is, absence of one or both testes from the scrotum owing to failure of the testis or testes to descend through the inguinal canal to the scrotum.","['Cryptorchism', 'Undescended testes', 'Undescended testis']","Cryptorchidism. Testis in inguinal canal. That is, absence of one or both testes from the scrotum owing to failure of the testis or testes to descend through the inguinal canal to the scrotum. Cryptorchism. Undescended testes. Undescended testis"
HP:0000029,Testicular atrophy,Wasting (atrophy) of the testicle (the male gonad) manifested by a decrease in size and potentially by a loss of fertility.,['Testicular degeneration'],Testicular atrophy. Wasting (atrophy) of the testicle (the male gonad) manifested by a decrease in size and potentially by a loss of fertility. Testicular degeneration
HP:0000030,Testicular gonadoblastoma,The presence of a gonadoblastoma of the testis.,"['Gonadoblastoma, male']","Testicular gonadoblastoma. The presence of a gonadoblastoma of the testis. Gonadoblastoma, male"
HP:0000031,Epididymitis,The presence of inflammation of the epididymis.,[],Epididymitis. The presence of inflammation of the epididymis. 
HP:0000032,Abnormal male external genitalia morphology,Any structural abnormality of male external genitalia.,['Abnormality of male external genitalia'],Abnormal male external genitalia morphology. Any structural abnormality of male external genitalia. Abnormality of male external genitalia
HP:0000033,"Ambiguous genitalia, male",Ambiguous genitalia in an individual with XY genetic gender.,['Ambiguous genitalia in males'],"Ambiguous genitalia, male. Ambiguous genitalia in an individual with XY genetic gender. Ambiguous genitalia in males"
HP:0000034,Hydrocele testis,Accumulation of clear fluid in the between the layers of membrane (tunica vaginalis) surrounding the testis.,"['Hydrocele', 'Testicular hydrocele']",Hydrocele testis. Accumulation of clear fluid in the between the layers of membrane (tunica vaginalis) surrounding the testis. Hydrocele. Testicular hydrocele
HP:0000035,Abnormal testis morphology,An anomaly of the testicle (the male gonad).,"['Abnormality of the testis', 'Anomaly of the testes']",Abnormal testis morphology. An anomaly of the testicle (the male gonad). Abnormality of the testis. Anomaly of the testes
HP:0000036,Abnormal penis morphology,Abnormality of the male external sex organ.,['Abnormality of the penis'],Abnormal penis morphology. Abnormality of the male external sex organ. Abnormality of the penis
HP:0000037,Male pseudohermaphroditism,"Hermaphroditism refers to a discrepancy between the morphology of the gonads and that of the external genitalia. In male pseudohermaphroditism, the genotype is male (XY) and the external genitalia are imcompletely virilized, ambiguous, or complete female. If gonads are present, they are testes.",[],"Male pseudohermaphroditism. Hermaphroditism refers to a discrepancy between the morphology of the gonads and that of the external genitalia. In male pseudohermaphroditism, the genotype is male (XY) and the external genitalia are imcompletely virilized, ambiguous, or complete female. If gonads are present, they are testes. "
HP:0000039,Epispadias,"Epispadias is a urogenital malformation characterized by the failure of the urethral tube to tubularize on the dorsal aspect. Unlike in hypospadias, where the meatus is on the ventral aspect, children with epispadias have a wide-open urethral plate on the dorsum. It is commonly seen as a component in the spectrum of bladder exstrophy-epispadias-complex. Isolated epispadias constitutes less than 10 percent of the total cases of epispadias.",[],"Epispadias. Epispadias is a urogenital malformation characterized by the failure of the urethral tube to tubularize on the dorsal aspect. Unlike in hypospadias, where the meatus is on the ventral aspect, children with epispadias have a wide-open urethral plate on the dorsum. It is commonly seen as a component in the spectrum of bladder exstrophy-epispadias-complex. Isolated epispadias constitutes less than 10 percent of the total cases of epispadias. "
HP:0000040,Long penis,Penile length more than 2 SD above the mean for age.,"['Enlarged penis', 'Long penis']",Long penis. Penile length more than 2 SD above the mean for age. Enlarged penis. Long penis
HP:0000041,Chordee,"Ventral (i.e., downward), lateral, or ventrolateral curvature of the shaft and glans penis of more than 30 degrees.",[],"Chordee. Ventral (i.e., downward), lateral, or ventrolateral curvature of the shaft and glans penis of more than 30 degrees. "
HP:0000042,Absent external genitalia,Lack of external genitalia in a male or female individual.,['Absent external genitalia'],Absent external genitalia. Lack of external genitalia in a male or female individual. Absent external genitalia
HP:0000044,Hypogonadotropic hypogonadism,Hypogonadotropic hypogonadism is characterized by reduced function of the gonads (testes in males or ovaries in females) and results from the absence of the gonadal stimulating pituitary hormones: follicle stimulating hormone (FSH) and luteinizing hormone (LH).,"['Hypogonadotrophic hypogonadism', 'Low gonadotropins (secondary hypogonadism)', 'Isolated hypogonadotropic hypogonadism']",Hypogonadotropic hypogonadism. Hypogonadotropic hypogonadism is characterized by reduced function of the gonads (testes in males or ovaries in females) and results from the absence of the gonadal stimulating pituitary hormones: follicle stimulating hormone (FSH) and luteinizing hormone (LH). Hypogonadotrophic hypogonadism. Low gonadotropins (secondary hypogonadism). Isolated hypogonadotropic hypogonadism
HP:0000045,Abnormal scrotum morphology,"Any structural abnormality of the scrotum, i.e., the sac that contains the testes, epididymis, and the lower part of the spermatic cord.",['Abnormality of the scrotum'],"Abnormal scrotum morphology. Any structural abnormality of the scrotum, i.e., the sac that contains the testes, epididymis, and the lower part of the spermatic cord. Abnormality of the scrotum"
HP:0000046,Small scrotum,Apparently small scrotum for age.,"['Hypoplastic scrotum', 'Scrotal hypoplasia', 'Smaller than typical growth of scrotum', 'Underdeveloped scrotum']",Small scrotum. Apparently small scrotum for age. Hypoplastic scrotum. Scrotal hypoplasia. Smaller than typical growth of scrotum. Underdeveloped scrotum
HP:0000047,Hypospadias,"Abnormal position of urethral meatus on the ventral penile shaft (underside) characterized by displacement of the urethral meatus from the tip of the glans penis to the ventral surface of the penis, scrotum, or perineum.",['Hypospadia'],"Hypospadias. Abnormal position of urethral meatus on the ventral penile shaft (underside) characterized by displacement of the urethral meatus from the tip of the glans penis to the ventral surface of the penis, scrotum, or perineum. Hypospadia"
HP:0000048,Bifid scrotum,Midline indentation or cleft of the scrotum.,"['Cleft of scrotum', 'Scrotal cleft']",Bifid scrotum. Midline indentation or cleft of the scrotum. Cleft of scrotum. Scrotal cleft
HP:0000049,Shawl scrotum,Superior margin of the scrotum superior to the base of the penis.,"['Overriding scrotum', 'Scrotum surrounds penis']",Shawl scrotum. Superior margin of the scrotum superior to the base of the penis. Overriding scrotum. Scrotum surrounds penis
HP:0000050,Hypoplastic male external genitalia,"Underdevelopment of part or all of the male external reproductive organs (which include the penis, the scrotum and the urethra).","['Hypoplastic male genitalia', 'Small male external genitalia', 'Underdeveloped male genitalia']","Hypoplastic male external genitalia. Underdevelopment of part or all of the male external reproductive organs (which include the penis, the scrotum and the urethra). Hypoplastic male genitalia. Small male external genitalia. Underdeveloped male genitalia"
HP:0000051,Perineal hypospadias,Hypospadias with location of the urethral meatus in the perineal region.,[],Perineal hypospadias. Hypospadias with location of the urethral meatus in the perineal region. 
HP:0000052,"Urethral atresia, male",Congenital anomaly characterized by closure or failure to develop an opening in the urethra in males.,[],"Urethral atresia, male. Congenital anomaly characterized by closure or failure to develop an opening in the urethra in males. "
HP:0000053,Macroorchidism,The presence of abnormally large testes.,"['Large testicles', 'Large testis']",Macroorchidism. The presence of abnormally large testes. Large testicles. Large testis
HP:0000054,Micropenis,"Abnormally small penis. At birth, the normal penis is about 3 cm (stretched length from pubic tubercle to tip of penis) with micropenis less than 2.0-2.5 cm.","['Short penis', 'Small penis']","Micropenis. Abnormally small penis. At birth, the normal penis is about 3 cm (stretched length from pubic tubercle to tip of penis) with micropenis less than 2.0-2.5 cm. Short penis. Small penis"
HP:0000055,Abnormal female external genitalia morphology,Any structural abnormality of the female external genitalia.,"['Abnormal female external genitalia', 'Abnormality of female external genitalia']",Abnormal female external genitalia morphology. Any structural abnormality of the female external genitalia. Abnormal female external genitalia. Abnormality of female external genitalia
HP:0000056,Abnormal clitoris morphology,Any structural abnormality of the clitoris.,"['Abnormality of the clit', 'Abnormality of the clitoris']",Abnormal clitoris morphology. Any structural abnormality of the clitoris. Abnormality of the clit. Abnormality of the clitoris
HP:0000057,obsolete Clitoromegaly,,[],obsolete Clitoromegaly.  
HP:0000058,Abnormal labia morphology,"An anomaly of the labia, the externally visible portions of the vulva.",['Abnormality of the labia'],"Abnormal labia morphology. An anomaly of the labia, the externally visible portions of the vulva. Abnormality of the labia"
HP:0000059,Hypoplastic labia majora,Undergrowth of the outer labia.,"['Hypoplasia of labia majora', 'Small labia majora', 'Underdeveloped vaginal lips']",Hypoplastic labia majora. Undergrowth of the outer labia. Hypoplasia of labia majora. Small labia majora. Underdeveloped vaginal lips
HP:0000060,Clitoral hypoplasia,Developmental hypoplasia of the clitoris.,"['Hypoplastic clitoris', 'Small clitoris', 'Underdeveloped clit']",Clitoral hypoplasia. Developmental hypoplasia of the clitoris. Hypoplastic clitoris. Small clitoris. Underdeveloped clit
HP:0000061,"Ambiguous genitalia, female",Ambiguous genitalia in an individual with XX genetic gender.,"['Atypical appearance of female genitals', 'Ambiguous genitalia due to virilization']","Ambiguous genitalia, female. Ambiguous genitalia in an individual with XX genetic gender. Atypical appearance of female genitals. Ambiguous genitalia due to virilization"
HP:0000062,Ambiguous genitalia,A genital phenotype that is not clearly assignable to a single gender. Ambiguous genitalia can be evaluated using the Prader scale: Prader 0: Normal female external genitalia. Prader 1: Female external genitalia with clitoromegaly. Prader 2: Clitoromegaly with partial labial fusion forming a funnel-shaped urogenital sinus. Prader 3: Increased phallic enlargement. Complete labioscrotal fusion forming a urogenital sinus with a single opening. Prader 4: Complete scrotal fusion with urogenital opening at the base or on the shaft of the phallus. Prader 5: Normal male external genitalia. The diagnosis of ambiguous genitalia is made for Prader 1-4.,"['Ambiguous external genitalia', 'Ambiguous external genitalia at birth', 'Intersex genitalia']",Ambiguous genitalia. A genital phenotype that is not clearly assignable to a single gender. Ambiguous genitalia can be evaluated using the Prader scale: Prader 0: Normal female external genitalia. Prader 1: Female external genitalia with clitoromegaly. Prader 2: Clitoromegaly with partial labial fusion forming a funnel-shaped urogenital sinus. Prader 3: Increased phallic enlargement. Complete labioscrotal fusion forming a urogenital sinus with a single opening. Prader 4: Complete scrotal fusion with urogenital opening at the base or on the shaft of the phallus. Prader 5: Normal male external genitalia. The diagnosis of ambiguous genitalia is made for Prader 1-4. Ambiguous external genitalia. Ambiguous external genitalia at birth. Intersex genitalia
HP:0000063,Fused labia minora,Fusion of the labia minora as a result of labial adhesions resulting in vaginal obstruction.,['Fused inner lips'],Fused labia minora. Fusion of the labia minora as a result of labial adhesions resulting in vaginal obstruction. Fused inner lips
HP:0000064,Hypoplastic labia minora,,['Underdeveloped inner lips'],Hypoplastic labia minora.  Underdeveloped inner lips
HP:0000065,Labial hypertrophy,,"['Enlarged vaginal lips', 'Enlargement of the labia', 'Enlargement of the vaginal lips']",Labial hypertrophy.  Enlarged vaginal lips. Enlargement of the labia. Enlargement of the vaginal lips
HP:0000066,Labial hypoplasia,,"['Hypoplastic labia', 'Underdeveloped labia']",Labial hypoplasia.  Hypoplastic labia. Underdeveloped labia
HP:0000067,"Urethral atresia, female",Congenital anomaly characterized by closure or failure to develop an opening in the urethra in females.,[],"Urethral atresia, female. Congenital anomaly characterized by closure or failure to develop an opening in the urethra in females. "
HP:0000068,Urethral atresia,Congenital anomaly characterized by closure or failure to develop an opening in the urethra.,"['Absent urethral opening', 'Urethral opening absent']",Urethral atresia. Congenital anomaly characterized by closure or failure to develop an opening in the urethra. Absent urethral opening. Urethral opening absent
HP:0000069,Abnormality of the ureter,An abnormality of the ureter. The ureter is the duct by which urine passes from the kidney to the bladder.,"['Abnormality of the ureters', 'Ureter issue', 'Ureteral anomalies']",Abnormality of the ureter. An abnormality of the ureter. The ureter is the duct by which urine passes from the kidney to the bladder. Abnormality of the ureters. Ureter issue. Ureteral anomalies
HP:0000070,Ureterocele,A ureterocele is a congenital saccular dilatation of the distal segment of the ureter.,[],Ureterocele. A ureterocele is a congenital saccular dilatation of the distal segment of the ureter. 
HP:0000071,Ureteral stenosis,"The presence of a stenotic, i.e., constricted ureter.","['Narrowing of the ureter', 'Ureteric stenosis']","Ureteral stenosis. The presence of a stenotic, i.e., constricted ureter. Narrowing of the ureter. Ureteric stenosis"
HP:0000072,Hydroureter,The distention of the ureter with urine.,"['Dilated ureter', 'Megaureter', 'Swelling of ureter', 'Ureteral dilatation', 'Wide ureter', 'Uroureter']",Hydroureter. The distention of the ureter with urine. Dilated ureter. Megaureter. Swelling of ureter. Ureteral dilatation. Wide ureter. Uroureter
HP:0000073,Ureteral duplication,"A developmental anomaly characterized by the presence of two, instead of one, ureter connecting a kidney to the bladder.",['Double ureter'],"Ureteral duplication. A developmental anomaly characterized by the presence of two, instead of one, ureter connecting a kidney to the bladder. Double ureter"
HP:0000074,Ureteropelvic junction obstruction,Blockage of urine flow from the renal pelvis to the proximal ureter.,"['Pelviureteric junction obstruction', 'Ureteropelvic junction stenosis']",Ureteropelvic junction obstruction. Blockage of urine flow from the renal pelvis to the proximal ureter. Pelviureteric junction obstruction. Ureteropelvic junction stenosis
HP:0000075,Renal duplication,"A congenital anomaly of the urinary tract, in which the kidney is duplicated and is drained via two separate renal pelves and ureters.","['Extra kidney', 'Supernumerary kidney']","Renal duplication. A congenital anomaly of the urinary tract, in which the kidney is duplicated and is drained via two separate renal pelves and ureters. Extra kidney. Supernumerary kidney"
HP:0000076,Vesicoureteral reflux,Abnormal (retrograde) movement of urine from the bladder into ureters or kidneys related to inadequacy of the valvular mechanism at the ureterovesicular junction or other causes.,"['Ureteral reflux', 'Ureteric reflux', 'VUR', 'Vesico-ureteral reflux', 'Vesicoureteric reflux']",Vesicoureteral reflux. Abnormal (retrograde) movement of urine from the bladder into ureters or kidneys related to inadequacy of the valvular mechanism at the ureterovesicular junction or other causes. Ureteral reflux. Ureteric reflux. VUR. Vesico-ureteral reflux. Vesicoureteric reflux
HP:0000077,Abnormality of the kidney,An abnormality of the kidney.,"['Abnormal kidney', 'Abnormality of the kidney', 'Renal anomalies', 'Renal anomaly']",Abnormality of the kidney. An abnormality of the kidney. Abnormal kidney. Abnormality of the kidney. Renal anomalies. Renal anomaly
HP:0000078,Abnormality of the genital system,An abnormality of the genital system.,"['Genital abnormalities', 'Genital abnormality', 'Genital anomalies', 'Genital defects', 'Abnormality of the reproductive system']",Abnormality of the genital system. An abnormality of the genital system. Genital abnormalities. Genital abnormality. Genital anomalies. Genital defects. Abnormality of the reproductive system
HP:0000079,Abnormality of the urinary system,An abnormality of the urinary system.,"['Urinary tract abnormalities', 'Urinary tract abnormality', 'Urinary tract anomalies']",Abnormality of the urinary system. An abnormality of the urinary system. Urinary tract abnormalities. Urinary tract abnormality. Urinary tract anomalies
HP:0000080,Abnormality of reproductive system physiology,An abnormal functionality of the genital system.,"['Abnormality of genital physiology', 'Abnormality of reproductive system physiology', 'Genital functional abnormality']",Abnormality of reproductive system physiology. An abnormal functionality of the genital system. Abnormality of genital physiology. Abnormality of reproductive system physiology. Genital functional abnormality
HP:0000081,Duplicated collecting system,"A duplication of the collecting system of the kidney, defined as a kidney with two (instead of, normally, one) pyelocaliceal systems. The pyelocaliceal system is comprised of the renal pelvis and calices. The duplicated renal collecting system can be associated with a single ureter or with double ureters. In the latter case, the two ureters empty separately into the bladder or fuse to form a single ureteral orifice.","['Double collecting system', 'Double urinary collecting systems on intravenous pyelography', 'Duplex collecting system', 'Duplicated renal collecting system']","Duplicated collecting system. A duplication of the collecting system of the kidney, defined as a kidney with two (instead of, normally, one) pyelocaliceal systems. The pyelocaliceal system is comprised of the renal pelvis and calices. The duplicated renal collecting system can be associated with a single ureter or with double ureters. In the latter case, the two ureters empty separately into the bladder or fuse to form a single ureteral orifice. Double collecting system. Double urinary collecting systems on intravenous pyelography. Duplex collecting system. Duplicated renal collecting system"
HP:0000083,Renal insufficiency,"A reduction in the level of performance of the kidneys in areas of function comprising the concentration of urine, removal of wastes, the maintenance of electrolyte balance, homeostasis of blood pressure, and calcium metabolism.","['Renal failure', 'Renal failure in adulthood']","Renal insufficiency. A reduction in the level of performance of the kidneys in areas of function comprising the concentration of urine, removal of wastes, the maintenance of electrolyte balance, homeostasis of blood pressure, and calcium metabolism. Renal failure. Renal failure in adulthood"
HP:0000085,Horseshoe kidney,A connection of the right and left kidney by an isthmus of functioning renal parenchyma or fibrous tissue that crosses the midline.,"['Fused kidneys', 'Horseshoe kidney', 'Horseshoe kidneys']",Horseshoe kidney. A connection of the right and left kidney by an isthmus of functioning renal parenchyma or fibrous tissue that crosses the midline. Fused kidneys. Horseshoe kidney. Horseshoe kidneys
HP:0000086,Ectopic kidney,A developmental defect in which a kidney is located in an abnormal anatomic position.,"['Abnormal kidney location', 'Displaced kidney', 'Ectopic kidneys', 'Renal ectopia']",Ectopic kidney. A developmental defect in which a kidney is located in an abnormal anatomic position. Abnormal kidney location. Displaced kidney. Ectopic kidneys. Renal ectopia
HP:0000089,Renal hypoplasia,Hypoplasia of the kidney.,"['Hypoplastic kidney', 'Hypoplastic kidneys', 'Small kidneys', 'Underdeveloped kidneys']",Renal hypoplasia. Hypoplasia of the kidney. Hypoplastic kidney. Hypoplastic kidneys. Small kidneys. Underdeveloped kidneys
HP:0000090,Nephronophthisis,Presence of cysts at the corticomedullary junction of the kidney in combination with tubulointerstitial fibrosis.,['juvenile nephronophthisis'],Nephronophthisis. Presence of cysts at the corticomedullary junction of the kidney in combination with tubulointerstitial fibrosis. juvenile nephronophthisis
HP:0000091,Abnormal renal tubule morphology,An abnormality of the renal tubules.,"['Abnormality of the renal tubule', 'Morphologic abnormality of the renal tubules']",Abnormal renal tubule morphology. An abnormality of the renal tubules. Abnormality of the renal tubule. Morphologic abnormality of the renal tubules
HP:0000092,Renal tubular atrophy,"The presence of renal tubules with thick redundant basement membranes, or a reduction of greater than 50% in tubular diameter compared to surrounding non-atrophic tubules.","['Renal tubular cell atrophy', 'Tubular atrophy']","Renal tubular atrophy. The presence of renal tubules with thick redundant basement membranes, or a reduction of greater than 50% in tubular diameter compared to surrounding non-atrophic tubules. Renal tubular cell atrophy. Tubular atrophy"
HP:0000093,Proteinuria,Increased levels of protein in the urine.,"['High urine protein levels', 'Protein in urine']",Proteinuria. Increased levels of protein in the urine. High urine protein levels. Protein in urine
HP:0000095,Abnormal renal glomerulus morphology,A structural anomaly of the glomerulus.,"['Abnormality of renal glomerulus morphology', 'Morphologic abnormality of the renal glomerulus']",Abnormal renal glomerulus morphology. A structural anomaly of the glomerulus. Abnormality of renal glomerulus morphology. Morphologic abnormality of the renal glomerulus
HP:0000096,Glomerular sclerosis,Accumulation of scar tissue within the glomerulus.,"['Renal glomerular fibrosis', 'Glomerulosclerosis']",Glomerular sclerosis. Accumulation of scar tissue within the glomerulus. Renal glomerular fibrosis. Glomerulosclerosis
HP:0000097,Focal segmental glomerulosclerosis,Segmental accumulation of scar tissue in individual (but not all) glomeruli.,"['Focal and segmental glomerular sclerosis', 'Focal and segmental glomerulosclerosis', 'focal glomerulosclerosis']",Focal segmental glomerulosclerosis. Segmental accumulation of scar tissue in individual (but not all) glomeruli. Focal and segmental glomerular sclerosis. Focal and segmental glomerulosclerosis. focal glomerulosclerosis
HP:0000098,Tall stature,A height above that which is expected according to age and gender norms.,"['Accelerated linear growth', 'Increased body height', 'Increased linear growth', 'Tall stature']",Tall stature. A height above that which is expected according to age and gender norms. Accelerated linear growth. Increased body height. Increased linear growth. Tall stature
HP:0000099,Glomerulonephritis,Inflammation of the renal glomeruli.,['Glomerular nephritis'],Glomerulonephritis. Inflammation of the renal glomeruli. Glomerular nephritis
HP:0000100,Nephrotic syndrome,"Nephrotic syndrome is a collection of findings resulting from glomerular dysfunction with an increase in glomerular capillary wall permeability associated with pronounced proteinuria. Nephrotic syndrome refers to the constellation of clinical findings that result from severe renal loss of protein, with Proteinuria and hypoalbuminemia, edema, and hyperlipidemia.",['Nephrosis'],"Nephrotic syndrome. Nephrotic syndrome is a collection of findings resulting from glomerular dysfunction with an increase in glomerular capillary wall permeability associated with pronounced proteinuria. Nephrotic syndrome refers to the constellation of clinical findings that result from severe renal loss of protein, with Proteinuria and hypoalbuminemia, edema, and hyperlipidemia. Nephrosis"
HP:0000103,Polyuria,An increased rate of urine production.,['Increased urine output'],Polyuria. An increased rate of urine production. Increased urine output
HP:0000104,Renal agenesis,"Agenesis, that is, failure of the kidney to develop during embryogenesis and development.","['Absent kidney', 'Missing kidney', 'Renal aplasia']","Renal agenesis. Agenesis, that is, failure of the kidney to develop during embryogenesis and development. Absent kidney. Missing kidney. Renal aplasia"
HP:0000105,Enlarged kidney,An abnormal increase in the size of the kidney.,"['Enlarged kidney', 'Large kidneys', 'Nephromegaly', 'Renal enlargement', 'Large kidney']",Enlarged kidney. An abnormal increase in the size of the kidney. Enlarged kidney. Large kidneys. Nephromegaly. Renal enlargement. Large kidney
HP:0000107,Renal cyst,A fluid filled sac in the kidney.,"['Kidney cyst', 'Cystic kidney disease', 'Cystic kidneys', 'Renal cysts']",Renal cyst. A fluid filled sac in the kidney. Kidney cyst. Cystic kidney disease. Cystic kidneys. Renal cysts
HP:0000108,Renal corticomedullary cysts,The presence of multiple cysts at the border between the renal cortex and medulla.,"['Corticomedullary renal cysts', 'Renal corticomedullary cystic disease']",Renal corticomedullary cysts. The presence of multiple cysts at the border between the renal cortex and medulla. Corticomedullary renal cysts. Renal corticomedullary cystic disease
